Date,Variable,Belgium,Germany,Italy,Spain,Switzerland,
2073,nuclear_electricity,0,0,0,0,0,0
2074,nuclear_electricity,0,0,0,0,0,0
2075,nuclear_electricity,0,0,0,0,0,0
2076,nuclear_electricity,0,0,0,0,0,0
2077,nuclear_electricity,0,0,0,0,0,0
2078,nuclear_electricity,0,0,0,0,0,0
2079,nuclear_electricity,0,0,0,0,0,0
2080,nuclear_electricity,0,0,0,0,0,0
2081,nuclear_electricity,0,0,0,0,0,0
2082,nuclear_electricity,0,0,0,0,0,0
2083,nuclear_electricity,0,0,0,0,0,0
2084,nuclear_electricity,0,0,0,0,0,0
2085,nuclear_electricity,0,0,0,0,0,0
2086,nuclear_electricity,0,0,0,0,0,0
2087,nuclear_electricity,0,0,0,0,0,0
2088,nuclear_electricity,0,0,0,0,0,0
2089,nuclear_electricity,0,0,0,0,0,0
2090,nuclear_electricity,0,0,0,0,0,0
2091,nuclear_electricity,0,0,0,0,0,0
2092,nuclear_electricity,0,0,0,0,0,0
2093,nuclear_electricity,0,0,0,0,0,0
2094,nuclear_electricity,0,0,0,0,0,0
2095,nuclear_electricity,0,0,0,0,0,0
2096,nuclear_electricity,0,0,0,0,0,0
2097,nuclear_electricity,0,0,0,0,0,0
2098,nuclear_electricity,0,0,0,0,0,0
2099,nuclear_electricity,0,0,0,0,0,0
2100,nuclear_electricity,0,0,0,0,0,0
